PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT
1630639,A.J. Lawson,TOR,25.0,103.7,118.1,0.545,0.194
1631260,AJ Green,MIL,26.0,114.1,114.7,0.639,0.125
1642358,AJ Johnson,WAS,21.0,102.2,106.5,0.361,0.199
203932,Aaron Gordon,DEN,30.0,122.9,108.9,0.632,0.228
1628988,Aaron Holiday,HOU,29.0,112.4,110.2,0.57,0.172
1630174,Aaron Nesmith,IND,26.0,109.9,115.4,0.529,0.19
1630598,Aaron Wiggins,OKC,27.0,114.0,104.1,0.569,0.189
1642846,Ace Bailey,UTA,19.0,109.5,121.7,0.534,0.188
1641737,Adem Bona,PHI,22.0,112.2,111.6,0.612,0.1
1642876,Adou Thiero,LAL,21.0,113.3,117.5,0.465,0.125
1642349,Ajay Mitchell,OKC,23.0,116.8,100.9,0.59,0.213
201143,Al Horford,GSW,39.0,113.1,111.2,0.557,0.154
1627936,Alex Caruso,OKC,31.0,120.5,100.1,0.538,0.146
1642259,Alex Sarr,WAS,20.0,109.1,120.0,0.56,0.251
1642918,Alijah Martin,TOR,24.0,107.5,112.1,0.48,0.164
1630578,Alperen Sengun,HOU,23.0,118.2,112.9,0.555,0.269
1642873,Amari Williams,BOS,24.0,94.2,108.8,0.542,0.098
1641708,Amen Thompson,HOU,23.0,117.4,108.8,0.567,0.198
1629599,Amir Coffey,MIL,28.0,98.5,105.8,0.538,0.104
203083,Andre Drummond,PHI,32.0,111.2,114.0,0.564,0.145
1641748,Andre Jackson Jr.,MIL,24.0,103.7,109.2,0.383,0.159
1629614,Andrew Nembhard,IND,26.0,109.2,118.0,0.563,0.232
203952,Andrew Wiggins,MIA,30.0,112.8,113.3,0.565,0.197
1629014,Anfernee Simons,BOS,26.0,118.8,112.7,0.579,0.228
1641710,Anthony Black,ORL,22.0,114.2,114.5,0.566,0.218
203076,Anthony Davis,DAL,32.0,110.0,114.6,0.551,0.272
1630162,Anthony Edwards,MIN,24.0,118.9,114.4,0.621,0.307
1630264,Anthony Gill,WAS,33.0,102.3,97.4,0.673,0.112
1641810,Antonio Reeves,CHA,25.0,122.2,100.9,0.656,0.124
1630574,Ariel Hukporti,NYK,23.0,108.6,105.7,0.58,0.091
1642854,Asa Newell,ATL,20.0,109.7,109.1,0.64,0.165
1641709,Ausar Thompson,DET,23.0,117.4,109.1,0.538,0.18
1630559,Austin Reaves,LAL,27.0,118.0,114.7,0.666,0.276
1630245,Ayo Dosunmu,CHI,26.0,111.0,114.7,0.635,0.203
1628389,Bam Adebayo,MIA,28.0,114.6,110.6,0.552,0.234
1631248,Baylor Scheierman,BOS,25.0,116.1,107.4,0.613,0.098
1642879,Ben Saraf,BKN,19.0,106.2,115.5,0.434,0.177
1641767,Ben Sheppard,IND,24.0,104.2,114.4,0.511,0.123
1631097,Bennedict Mathurin,IND,23.0,108.0,118.1,0.589,0.23
1641731,Bilal Coulibaly,WAS,21.0,109.0,118.8,0.516,0.172
202687,Bismack Biyombo,SAS,33.0,106.5,130.4,0.654,0.065
1631104,Blake Wesley,POR,22.0,110.3,111.2,0.495,0.161
1626171,Bobby Portis,MIL,30.0,108.1,116.1,0.576,0.22
1641752,Bobi Klintman,DET,22.0,94.0,106.8,0.364,0.178
203992,Bogdan Bogdanović,LAC,33.0,111.8,113.9,0.511,0.177
1630538,Bones Hyland,MIN,25.0,118.8,108.6,0.572,0.188
203078,Bradley Beal,LAC,32.0,119.1,128.5,0.476,0.224
1642382,Branden Carlson,OKC,26.0,112.3,110.6,0.602,0.179
1641764,Brandin Podziemski,GSW,22.0,111.4,107.9,0.579,0.184
1629634,Brandon Clarke,MEM,29.0,87.8,110.0,0.372,0.193
1627742,Brandon Ingram,TOR,28.0,113.9,112.9,0.566,0.268
1641706,Brandon Miller,CHA,23.0,118.4,111.4,0.564,0.281
1630314,Brandon Williams,DAL,26.0,112.1,112.0,0.553,0.245
1641729,Brice Sensabaugh,UTA,22.0,111.5,121.6,0.583,0.22
1642355,Bronny James,LAL,21.0,109.1,109.3,0.488,0.143
201572,Brook Lopez,LAC,37.0,111.9,112.0,0.521,0.182
1642964,Brooks Barnhizer,OKC,23.0,98.0,111.7,0.49,0.081
1628971,Bruce Brown,DEN,29.0,115.2,116.1,0.538,0.139
1631121,Bryce McGowens,NOP,23.0,113.4,119.9,0.606,0.143
1642267,Bub Carrington,WAS,20.0,106.9,121.3,0.545,0.165
1627741,Buddy Hield,GSW,33.0,109.0,114.6,0.569,0.187
203468,CJ McCollum,ATL,34.0,112.0,117.7,0.566,0.244
1630595,Cade Cunningham,DET,24.0,118.7,107.9,0.565,0.296
1631216,Caleb Houstan,ATL,23.0,96.3,101.9,0.705,0.169
1631126,Caleb Love,POR,24.0,108.7,114.0,0.505,0.225
1628997,Caleb Martin,DAL,30.0,105.7,107.3,0.496,0.11
1642353,Cam Christie,LAC,20.0,110.1,103.6,0.523,0.169
1642285,Cam Spencer,MEM,25.0,113.5,112.9,0.664,0.171
1630560,Cam Thomas,BKN,24.0,111.0,122.0,0.528,0.299
1641715,Cam Whitmore,WAS,21.0,104.4,124.0,0.528,0.225
1629661,Cameron Johnson,DEN,29.0,126.2,115.0,0.604,0.146
1627747,Caris LeVert,DET,31.0,109.0,105.5,0.541,0.176
1642868,Carter Bryant,SAS,20.0,104.4,109.8,0.449,0.16
1641717,Cason Wallace,OKC,22.0,116.4,102.7,0.544,0.128
1642907,Cedric Coward,MEM,22.0,111.7,111.2,0.581,0.203
1629646,Charles Bassey,PHI,25.0,104.4,112.9,0.376,0.123
1642404,Chaz Lanier,DET,24.0,112.4,107.2,0.517,0.136
1631096,Chet Holmgren,OKC,23.0,117.4,103.3,0.657,0.22
1628449,Chris Boucher,BOS,33.0,114.3,109.9,0.392,0.128
1641753,Chris Livingston,CLE,22.0,113.9,86.8,0.605,0.189
1643024,Chris Mañon,LAL,24.0,107.1,88.5,0.0,0.026
101108,Chris Paul,LAC,40.0,99.4,116.6,0.413,0.135
1642959,Chris Youngblood,OKC,23.0,106.7,103.8,0.533,0.162
1631128,Christian Braun,DEN,24.0,122.0,110.3,0.532,0.148
1631132,Christian Koloko,ATL,25.0,109.6,106.6,0.459,0.096
1642935,Chucky Hepburn,TOR,22.0,73.1,120.7,0.0,0.219
203991,Clint Capela,HOU,31.0,112.6,107.7,0.541,0.138
1629632,Coby White,CHI,25.0,115.8,115.2,0.589,0.266
1628998,Cody Martin,IND,30.0,79.0,99.2,0.277,0.119
1642262,Cody Williams,UTA,21.0,112.5,123.5,0.525,0.136
1641732,Colby Jones,DET,23.0,133.3,53.3,0.333,0.158
1630175,Cole Anthony,MIL,25.0,102.3,113.3,0.482,0.245
1631221,Collin Gillespie,PHX,26.0,114.2,108.4,0.6,0.186
1642867,Collin Murray-Boyles,TOR,20.0,108.5,108.8,0.582,0.148
1629012,Collin Sexton,CHA,27.0,111.9,112.5,0.619,0.249
1642843,Cooper Flagg,DAL,19.0,109.4,112.9,0.559,0.241
1630557,Corey Kispert,ATL,26.0,107.4,117.4,0.62,0.169
1641854,Craig Porter Jr.,CLE,25.0,115.9,111.4,0.535,0.122
1642938,Curtis Jones,DEN,24.0,107.8,104.8,0.321,0.211
1626156,D'Angelo Russell,DAL,29.0,107.9,111.2,0.511,0.261
1641747,DaRon Holmes II,DEN,23.0,109.7,116.8,0.623,0.139
1631342,Daeqwon Plowden,SAC,27.0,109.7,116.0,0.182,0.103
1631207,Dalen Terry,CHI,23.0,105.7,107.7,0.541,0.135
1642261,Dalton Knecht,LAL,24.0,107.1,111.9,0.552,0.165
1629655,Daniel Gafford,DAL,27.0,104.4,109.4,0.669,0.14
1642450,Daniss Jenkins,DET,24.0,112.1,104.7,0.542,0.207
1642874,Danny Wolf,BKN,21.0,102.1,111.0,0.5,0.189
203967,Dario Šarić,CHI,31.0,104.7,104.7,0.363,0.1
1629636,Darius Garland,CLE,26.0,114.7,117.7,0.567,0.25
1642357,David Jones Garcia,SAS,24.0,123.1,100.0,0.579,0.18
1630558,Davion Mitchell,MIA,27.0,116.3,110.0,0.562,0.137
1630549,Day'Ron Sharpe,BKN,24.0,107.2,111.6,0.647,0.18
1628368,De'Aaron Fox,SAS,28.0,115.8,111.4,0.582,0.247
1629631,De'Andre Hunter,SAC,28.0,114.2,115.1,0.553,0.219
1629001,De'Anthony Melton,GSW,27.0,123.8,105.5,0.544,0.238
201599,DeAndre Jordan,NOP,37.0,68.2,130.2,0.765,0.113
201942,DeMar DeRozan,SAC,36.0,109.4,121.4,0.602,0.215
1629731,Dean Wade,CLE,29.0,114.9,109.4,0.566,0.096
1629028,Deandre Ayton,LAL,27.0,116.6,117.8,0.681,0.171
1630166,Deni Avdija,POR,25.0,116.4,116.5,0.61,0.283
203471,Dennis Schröder,CLE,32.0,107.1,118.1,0.531,0.222
1641726,Dereck Lively II,DAL,21.0,108.6,102.3,0.67,0.113
1642852,Derik Queen,NOP,21.0,112.1,119.2,0.551,0.22
1627884,Derrick Jones Jr.,LAC,28.0,117.7,121.6,0.674,0.147
1628401,Derrick White,BOS,31.0,120.2,109.4,0.523,0.228
1630217,Desmond Bane,ORL,27.0,113.7,113.3,0.575,0.226
1626164,Devin Booker,PHX,29.0,115.8,111.2,0.58,0.3
1642269,Devin Carter,SAC,23.0,103.4,105.1,0.473,0.188
1630170,Devin Vassell,SAS,25.0,118.0,110.7,0.558,0.186
